,index,Tanggal,Musim,Tahun,Bulan,Hari,Jam,Kategori_Jam,Libur,Kerja,Cuaca,Suhu,Suhu_Terasa,Kategori_Suhu_Terasa,Kelembapan,Kategori_Kelembapan,Kecepatan_Angin,Kategori_Angin,Non_member,Member,Total
91,96,2011-01-04,Musim Semi,2011,Januari,Senin,23,Malam,Tidak,Ya,Cerah/Berawan,8.200000000000001,11.365,Dingin,69.0,Lembap,6.0032,Tenang,2,9,11
92,97,2011-01-05,Musim Semi,2011,Januari,Selasa,0,Dini Hari,Tidak,Ya,Cerah/Berawan,8.200000000000001,12.879999999999999,Dingin,64.0,Lembap,0.0,Tenang,0,6,6
93,98,2011-01-05,Musim Semi,2011,Januari,Selasa,1,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,9.85,Dingin,74.0,Lembap,6.0032,Tenang,0,6,6
94,99,2011-01-05,Musim Semi,2011,Januari,Selasa,2,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,9.85,Dingin,74.0,Lembap,6.0032,Tenang,0,2,2
17383,100,2011-01-05,Musim Semi,2011,Januari,Selasa,3,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,9.85,Dingin,74.0,Lembap,6.0032,Tenang,0,4,4
95,101,2011-01-05,Musim Semi,2011,Januari,Selasa,4,Dini Hari,Tidak,Ya,Cerah/Berawan,9.84,11.365,Dingin,48.0,Nyaman,15.001299999999999,Sepoi Sepoi,0,2,2
96,102,2011-01-05,Musim Semi,2011,Januari,Selasa,5,Dini Hari,Tidak,Ya,Cerah/Berawan,9.02,11.365,Dingin,47.0,Nyaman,11.0014,Sepoi Sepoi,0,3,3
97,103,2011-01-05,Musim Semi,2011,Januari,Selasa,6,Pagi,Tidak,Ya,Cerah/Berawan,8.200000000000001,9.85,Dingin,47.0,Nyaman,15.001299999999999,Sepoi Sepoi,0,33,33
98,104,2011-01-05,Musim Semi,2011,Januari,Selasa,7,Pagi,Tidak,Ya,Cerah/Berawan,7.38,9.09,Dingin,43.0,Nyaman,12.998000000000001,Sepoi Sepoi,1,87,88
99,105,2011-01-05,Musim Semi,2011,Januari,Selasa,8,Pagi,Tidak,Ya,Cerah/Berawan,8.200000000000001,9.09,Dingin,40.0,Kering,19.999499999999998,Sepoi Sepoi,3,192,195
100,106,2011-01-05,Musim Semi,2011,Januari,Selasa,9,Pagi,Tidak,Ya,Cerah/Berawan,9.02,9.85,Dingin,37.0,Kering,22.0028,Sedang,6,109,115
101,107,2011-01-05,Musim Semi,2011,Januari,Selasa,10,Pagi,Tidak,Ya,Cerah/Berawan,9.02,9.85,Dingin,37.0,Kering,22.0028,Sedang,4,53,57
102,108,2011-01-05,Musim Semi,2011,Januari,Selasa,11,Pagi,Tidak,Ya,Cerah/Berawan,10.66,11.365,Dingin,33.0,Kering,22.0028,Sedang,12,34,46
103,109,2011-01-05,Musim Semi,2011,Januari,Selasa,12,Siang,Tidak,Ya,Cerah/Berawan,10.66,11.365,Dingin,33.0,Kering,22.0028,Sedang,5,74,79
104,110,2011-01-05,Musim Semi,2011,Januari,Selasa,13,Siang,Tidak,Ya,Cerah/Berawan,11.48,12.879999999999999,Dingin,30.0,Kering,19.999499999999998,Sepoi Sepoi,6,65,71
105,111,2011-01-05,Musim Semi,2011,Januari,Selasa,14,Siang,Tidak,Ya,Cerah/Berawan,12.299999999999999,14.395,Dingin,28.000000000000004,Kering,12.998000000000001,Sepoi Sepoi,10,52,62
106,112,2011-01-05,Musim Semi,2011,Januari,Selasa,15,Siang,Tidak,Ya,Cerah/Berawan,12.299999999999999,14.395,Dingin,28.000000000000004,Kering,12.998000000000001,Sepoi Sepoi,7,55,62
107,113,2011-01-05,Musim Semi,2011,Januari,Selasa,16,Sore,Tidak,Ya,Cerah/Berawan,12.299999999999999,15.909999999999998,Nyaman,28.000000000000004,Kering,6.0032,Tenang,4,85,89
108,114,2011-01-05,Musim Semi,2011,Januari,Selasa,17,Sore,Tidak,Ya,Cerah/Berawan,9.84,11.365,Dingin,38.0,Kering,12.998000000000001,Sepoi Sepoi,4,186,190
109,115,2011-01-05,Musim Semi,2011,Januari,Selasa,18,Sore,Tidak,Ya,Cerah/Berawan,9.84,12.120000000000001,Dingin,38.0,Kering,8.9981,Tenang,3,166,169
110,116,2011-01-05,Musim Semi,2011,Januari,Selasa,19,Malam,Tidak,Ya,Cerah/Berawan,9.84,12.879999999999999,Dingin,38.0,Kering,7.0015,Tenang,5,127,132
111,117,2011-01-05,Musim Semi,2011,Januari,Selasa,20,Malam,Tidak,Ya,Cerah/Berawan,9.02,11.365,Dingin,47.0,Nyaman,11.0014,Sepoi Sepoi,7,82,89
112,118,2011-01-05,Musim Semi,2011,Januari,Selasa,21,Malam,Tidak,Ya,Cerah/Berawan,8.200000000000001,9.85,Dingin,51.0,Nyaman,12.998000000000001,Sepoi Sepoi,3,40,43
113,119,2011-01-05,Musim Semi,2011,Januari,Selasa,22,Malam,Tidak,Ya,Cerah/Berawan,7.38,9.85,Dingin,55.00000000000001,Nyaman,8.9981,Tenang,1,41,42
114,120,2011-01-05,Musim Semi,2011,Januari,Selasa,23,Malam,Tidak,Ya,Cerah/Berawan,8.200000000000001,12.879999999999999,Dingin,47.0,Nyaman,0.0,Tenang,1,18,19
115,121,2011-01-06,Musim Semi,2011,Januari,Rabu,0,Dini Hari,Tidak,Ya,Cerah/Berawan,7.38,12.120000000000001,Dingin,55.00000000000001,Nyaman,0.0,Tenang,0,11,11
116,122,2011-01-06,Musim Semi,2011,Januari,Rabu,1,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,11.365,Dingin,64.0,Lembap,0.0,Tenang,0,4,4
117,123,2011-01-06,Musim Semi,2011,Januari,Rabu,2,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,11.365,Dingin,64.0,Lembap,0.0,Tenang,0,2,2
17384,124,2011-01-06,Musim Semi,2011,Januari,Rabu,3,Dini Hari,Tidak,Ya,Cerah/Berawan,6.5600000000000005,11.365,Dingin,64.0,Lembap,0.0,Tenang,0,4,5
118,125,2011-01-06,Musim Semi,2011,Januari,Rabu,4,Dini Hari,Tidak,Ya,Kabut/Berawan,6.5600000000000005,9.85,Dingin,64.0,Lembap,6.0032,Tenang,0,1,1
119,126,2011-01-06,Musim Semi,2011,Januari,Rabu,5,Dini Hari,Tidak,Ya,Kabut/Berawan,5.74,9.09,Dingin,69.0,Lembap,6.0032,Tenang,0,4,4
120,127,2011-01-06,Musim Semi,2011,Januari,Rabu,6,Pagi,Tidak,Ya,Kabut/Berawan,5.74,8.334999999999999,Dingin,63.0,Lembap,7.0015,Tenang,0,36,36
121,128,2011-01-06,Musim Semi,2011,Januari,Rabu,7,Pagi,Tidak,Ya,Kabut/Berawan,6.5600000000000005,11.365,Dingin,59.0,Nyaman,0.0,Tenang,0,95,95
122,129,2011-01-06,Musim Semi,2011,Januari,Rabu,8,Pagi,Tidak,Ya,Cerah/Berawan,6.5600000000000005,11.365,Dingin,59.0,Nyaman,0.0,Tenang,3,216,219
123,130,2011-01-06,Musim Semi,2011,Januari,Rabu,9,Pagi,Tidak,Ya,Kabut/Berawan,7.38,12.120000000000001,Dingin,51.0,Nyaman,0.0,Tenang,6,116,122
124,131,2011-01-06,Musim Semi,2011,Januari,Rabu,10,Pagi,Tidak,Ya,Cerah/Berawan,8.200000000000001,12.879999999999999,Dingin,47.0,Nyaman,0.0,Tenang,3,42,45
125,132,2011-01-06,Musim Semi,2011,Januari,Rabu,11,Pagi,Tidak,Ya,Cerah/Berawan,9.02,12.879999999999999,Dingin,44.0,Nyaman,6.0032,Tenang,2,57,59
126,133,2011-01-06,Musim Semi,2011,Januari,Rabu,12,Siang,Tidak,Ya,Cerah/Berawan,10.66,14.395,Dingin,35.0,Kering,0.0,Tenang,6,78,84
